time,BPS,BPS-d8,BPSG,BPSG-d8
0:07:00,9662.460,1.140,71205.180,0.000
0:15:00,2783.920,1.440,72860.860,0.000
0:30:00,964.940,0.000,72850.560,0.000
0:59:00,112.550,0.000,48206.220,0.000
1:58:00,20.550,0.000,23670.660,0.000
4:00:00,7.420,0.000,8358.070,0.000
6:05:00,0.000,0.000,3447.630,0.000
8:00:00,0.000,1.060,1495.500,0.000
10:05:00,0.000,0.000,836.750,0.000
24:10:00,0.000,1.010,29.470,0.000
34:09:00,0.000,1.150,11.340,0.000
48:24:00,0.000,0.000,0.000,10.720
58:04:00,0.000,1.060,0.000,0.000
71:40:00,0.000,0.000,0.000,0.000
