time,BPS,BPS-d8,BPSG,BPSG-d8
0:06:00,27433.400,0.000,60576.200,0.000
0:15:00,6886.520,0.000,71171.680,0.000
0:31:00,1875.520,0.000,69678.220,0.000
1:02:00,536.400,0.000,45525.420,0.000
2:04:00,129.320,0.000,18373.540,0.000
3:58:00,43.820,0.000,5746.850,0.000
6:05:00,11.560,0.000,2003.730,0.000
7:59:00,4.960,0.000,877.580,0.000
9:57:00,3.980,0.000,465.570,0.000
24:14:00,0.000,0.000,59.070,0.000
34:07:00,0.000,0.000,19.660,0.000
47:36:00,0.000,0.000,0.000,0.000
57:57:00,0.000,0.000,0.000,0.000
71:56:00,0.000,0.000,0.000,0.000
