time,BPS,BPS-d8,BPSG,BPSG-d8
0:08:00,3.180,2838.590,17.930,1544.640
0:12:00,4.370,2310.880,11.500,2300.580
0:29:00,2.970,1620.730,10.840,3101.990
0:55:00,3.450,992.500,12.220,3887.780
2:00:00,3.970,334.560,23.300,4480.400
3:59:00,0.000,82.660,48.440,5257.800
6:00:00,0.000,24.660,58.600,5404.790
8:00:00,0.000,11.180,43.900,5273.970
10:52:00,0.000,8.330,49.770,5061.080
24:10:00,0.000,4.180,51.270,5020.330
34:03:00,0.000,6.210,44.080,4577.230
48:23:00,0.000,6.210,43.330,4373.230
57:44:00,0.000,4.490,53.640,3958.770
73:35:00,0.000,6.050,34.320,3536.830
96:43:00,0.000,4.560,28.440,2880.660
120:55:00,0.000,10.410,26.620,3499.700
