time,BPS,BPS-d8,BPSG,BPSG-d8
0:10:00,7415.660,0.000,86316.140,0.000
0:16:00,3300.370,0.000,65356.600,0.000
0:31:00,1210.590,0.000,81480.980,0.000
1:04:00,381.480,0.000,46473.610,0.000
2:06:00,112.200,0.000,24715.870,0.000
4:03:00,24.320,0.000,7744.620,0.000
6:02:00,11.910,0.000,3497.410,0.000
8:04:00,6.230,0.000,1521.210,0.000
10:00:00,4.430,0.000,1020.190,0.000
24:13:00,0.000,0.000,66.960,0.000
34:11:00,0.000,0.000,15.440,0.000
47:41:00,0.000,0.000,0.000,0.000
58:01:00,0.000,0.000,0.000,0.000
71:59:00,0.000,0.000,0.000,0.000
