time,BPS,BPS-d8,BPSG,BPSG-d8
0:06:00,25.880,4953.700,0.000,1199.420
0:14:00,18.070,3585.970,10.120,2121.800
0:29:00,13.710,2515.660,17.270,3490.720
1:00:00,9.060,1288.340,26.140,4339.450
2:07:00,5.000,447.430,38.740,5340.760
4:05:00,0.000,96.760,58.540,6520.900
6:06:00,0.000,42.140,69.680,6422.630
8:08:00,0.000,27.010,80.700,6911.830
10:08:00,0.000,19.260,80.230,6114.190
23:33:00,0.000,16.640,84.900,5600.730
33:48:00,0.000,8.710,60.050,3851.460
47:37:00,0.000,10.690,70.380,4521.700
57:41:00,0.000,9.000,68.980,4130.130
71:14:00,0.000,10.760,68.670,4094.390
95:11:00,0.000,7.140,47.510,2899.830
119:26:00,0.000,7.850,41.850,2799.320
