time,BPS,BPS-d8,BPSG,BPSG-d8
0:07:00,135.320,3.690,59414.090,0.000
0:15:00,36.240,4.770,41233.080,0.000
0:31:00,13.390,4.900,29236.470,34.910
0:59:00,10.630,3.810,16873.290,55.030
2:09:00,2.210,0.000,5538.710,33.880
4:05:00,0.000,0.000,2474.310,18.510
6:05:00,1.400,0.000,1116.850,9.840
8:03:00,0.000,0.000,667.660,0.000
10:02:00,0.000,0.000,345.490,0.000
23:29:00,0.000,0.000,11.690,0.000
33:43:00,0.000,0.000,0.000,0.000
47:24:00,0.000,0.000,0.000,0.000
57:29:00,0.000,0.000,0.000,0.000
71:11:00,0.000,0.000,0.000,0.000
95:14:00,0.000,0.000,0.000,0.000
119:39:00,0.000,0.000,0.000,0.000
