time,BPS,BPS-d8,BPSG,BPSG-d8
0:09:00,59.070,9.490,34152.880,21.840
0:14:00,103.390,9.020,39529.110,18.510
0:30:00,19.390,8.880,24770.480,70.340
0:56:00,8.530,6.410,18785.650,91.550
2:01:00,0.000,3.280,7644.890,82.000
3:59:00,0.000,1.120,2651.680,52.870
6:00:00,0.000,0.000,1170.990,22.150
8:01:00,0.000,0.000,0.000,0.000
11:09:00,0.000,0.000,313.600,11.290
24:08:00,0.000,0.000,21.980,0.000
34:05:00,0.000,0.000,10.400,0.000
48:20:00,0.000,0.000,0.000,0.000
57:55:00,0.000,0.000,0.000,12.220
73:37:00,0.000,0.000,0.000,0.000
96:42:00,0.000,0.000,0.000,0.000
120:54:00,0.000,0.000,0.000,0.000
