time,BPS,BPS-d8,BPSG,BPSG-d8
0:08:00,26.450,4451.460,0.000,1128.260
0:16:00,24.470,3264.040,0.000,1560.510
0:28:00,20.670,2712.520,12.660,2189.620
0:59:00,14.530,1876.530,15.130,3036.590
1:59:00,8.490,960.230,27.850,4093.850
4:05:00,3.190,272.690,32.430,4502.460
6:01:00,0.000,117.130,41.350,5184.900
8:04:00,0.000,51.410,40.690,4921.080
10:02:00,0.000,27.830,38.010,4932.970
24:05:00,0.000,9.970,40.850,4029.600
33:44:00,0.000,10.900,34.380,4026.460
48:02:00,0.000,9.620,34.480,3689.860
57:57:00,0.000,8.220,30.780,3246.970
72:44:00,0.000,9.110,26.800,3032.000
