time,BPS,BPS-d8,BPSG,BPSG-d8
0:08:00,387.910,7.580,44724.960,10.350
0:14:00,284.480,8.390,34052.700,18.260
0:30:00,160.540,5.790,21882.340,31.120
0:56:00,100.800,5.050,14755.310,64.000
2:01:00,39.030,2.660,4707.470,45.150
3:59:00,11.680,1.260,1449.190,19.620
6:00:00,4.680,0.000,590.770,18.810
8:00:00,0.000,0.000,321.560,0.000
10:52:00,0.000,0.000,130.700,0.000
24:10:00,0.000,0.000,0.000,0.000
34:03:00,0.000,0.000,0.000,0.000
48:23:00,0.000,0.000,0.000,0.000
57:49:00,0.000,0.000,0.000,0.000
73:37:00,0.000,0.000,0.000,0.000
96:27:00,0.000,0.000,0.000,0.000
120:58:00,0.000,0.000,0.000,0.000
