time,BPS,BPS-d8,BPSG,BPSG-d8
0:09:00,33.250,5125.300,10.830,1355.010
0:14:00,32.340,4371.960,19.970,2183.660
0:28:00,22.730,3144.300,26.390,3374.970
0:59:00,14.020,1780.700,25.130,4369.930
2:00:00,7.170,775.560,46.250,6409.640
4:03:00,0.000,174.580,52.350,6926.060
6:02:00,0.000,50.350,51.710,6248.300
8:04:00,0.000,25.750,51.520,6570.640
10:02:00,0.000,17.460,55.660,6734.810
24:06:00,0.000,6.700,45.110,5373.710
33:43:00,0.000,13.920,37.130,4268.030
48:03:00,0.000,13.830,32.420,3599.460
57:57:00,0.000,11.880,32.870,3223.700
72:40:00,0.000,12.370,22.570,2644.830
