time,BPS,BPS-d8,BPSG,BPSG-d8
0:07:00,332.470,8.060,41315.880,0.000
0:14:00,121.190,8.720,26296.880,0.000
0:29:00,53.300,9.720,18956.580,39.600
1:00:00,16.810,6.840,10102.370,60.660
2:02:00,3.200,3.290,2699.010,48.710
4:05:00,0.000,1.160,554.280,25.540
6:02:00,0.000,0.000,270.140,12.380
8:05:00,0.000,0.000,143.100,0.000
10:03:00,0.000,0.000,79.100,0.000
24:06:00,0.000,0.000,0.000,0.000
33:42:00,0.000,0.000,0.000,0.000
48:02:00,0.000,0.000,0.000,0.000
57:57:00,0.000,0.000,0.000,0.000
72:44:00,0.000,0.000,0.000,0.000
