time,BPS,BPS-d8,BPSG,BPSG-d8
0:08:00,13868.900,0.000,71597.300,0.000
0:15:00,4708.570,0.000,74741.800,0.000
0:29:00,1602.190,0.000,47518.950,0.000
1:02:00,485.980,0.000,47812.310,0.000
2:08:00,90.220,0.000,18071.950,0.000
4:06:00,20.440,0.000,5019.140,0.000
6:14:00,6.590,0.000,1739.690,0.000
8:06:00,0.000,0.000,856.250,0.000
10:02:00,0.000,0.000,464.740,0.000
24:16:00,0.000,0.000,45.410,0.000
34:06:00,0.000,0.000,14.980,0.000
48:06:00,0.000,0.000,20.910,0.000
58:01:00,0.000,0.000,12.510,0.000
71:31:00,0.000,0.000,0.000,0.000
