time,BPS,BPS-d8,BPSG,BPSG-d8
0:05:00,633.830,0.000,62.170,43164.740
0:15:00,674.790,0.000,330.430,37809.630
0:29:00,501.220,2.050,587.480,32770.700
0:59:00,293.520,2.660,723.280,24906.970
1:57:00,185.290,3.890,1142.990,27520.510
4:00:00,49.140,26.320,1341.240,25227.740
6:05:00,19.150,15.360,1442.190,24401.510
7:59:00,9.520,16.450,1528.260,25094.580
10:02:00,4.680,11.910,1440.220,23191.150
24:09:00,0.000,21.010,1453.460,22676.300
34:09:00,0.000,28.430,1385.530,22314.640
48:20:00,0.000,25.750,1265.070,19064.840
58:02:00,0.000,30.960,1336.640,20181.200
71:39:00,0.000,32.320,1084.210,16334.940
