time,BPS,BPS-d8,BPSG,BPSG-d8
0:08:00,79.860,7.560,49112.970,0.000
0:16:00,35.110,9.290,37896.110,25.780
0:31:00,15.890,8.050,25401.420,60.800
1:03:00,5.130,4.920,10999.300,66.890
2:09:00,0.000,2.140,3521.750,46.550
4:07:00,0.000,1.000,856.790,15.100
6:08:00,0.000,0.000,259.560,0.000
8:08:00,0.000,0.000,130.360,0.000
10:06:00,0.000,0.000,66.310,0.000
23:33:00,0.000,0.000,0.000,0.000
33:48:00,0.000,0.000,0.000,0.000
47:26:00,0.000,0.000,0.000,0.000
57:41:00,0.000,0.000,0.000,0.000
71:16:00,0.000,0.000,0.000,0.000
95:11:00,0.000,0.000,0.000,0.000
119:36:00,0.000,0.000,0.000,0.000
