time,BPS,BPS-d8,BPSG,BPSG-d8
0:05:00,20.960,3466.070,0.000,753.910
0:12:00,10.000,1568.100,0.000,1399.610
0:29:00,11.520,1705.520,14.670,2577.530
0:56:00,6.640,911.390,25.140,3473.180
2:04:00,4.510,328.320,35.820,4603.560
4:04:00,0.000,75.690,50.130,4611.280
6:06:00,0.000,21.210,46.630,4641.890
8:07:00,0.000,10.090,47.380,4386.140
10:07:00,0.000,7.400,33.010,3782.280
23:29:00,0.000,5.310,40.390,3957.610
33:47:00,0.000,6.650,55.060,4572.670
47:36:00,0.000,7.190,39.940,3556.330
57:29:00,0.000,5.000,37.560,3301.990
71:11:00,0.000,4.430,32.590,2918.890
95:14:00,0.000,4.310,28.010,2601.980
119:14:00,0.000,2.510,20.380,1756.240
