time,BPS,BPS-d8,BPSG,BPSG-d8
0:08:00,562.210,10.890,57.773,34127.017
0:14:00,566.730,12.340,223.630,34367.200
0:31:00,421.440,14.320,424.180,31601.740
1:02:00,258.250,18.160,691.780,32512.880
2:05:00,114.480,20.280,876.050,28185.130
4:03:00,30.940,23.040,1017.020,26467.470
6:01:00,13.630,29.910,1139.110,26447.450
8:04:00,5.660,32.520,1119.970,25312.660
9:59:00,5.580,34.410,1147.370,26271.810
24:08:00,0.000,37.500,986.510,20086.170
34:09:00,0.000,55.830,908.260,17544.570
47:39:00,0.000,49.120,872.100,16208.490
58:01:00,3.420,53.060,823.010,15031.150
71:59:00,0.000,47.290,746.230,12780.990
