time,BPS,BPS-d8,BPSG,BPSG-d8
0:06:00,NaN,NaN,NaN,NaN
0:14:00,622.940,8.413,174.380,44461.640
0:30:00,517.390,16.120,367.010,41573.910
1:01:00,NaN,NaN,NaN,NaN
2:02:00,173.910,24.390,762.120,35037.950
4:01:00,66.190,29.770,933.860,32491.790
5:59:00,29.490,35.170,1063.200,34053.060
8:02:00,13.280,33.180,986.240,30770.120
9:56:00,9.470,38.860,1004.890,30745.470
24:06:00,0.000,48.070,1010.470,27854.050
34:05:00,0.000,52.810,896.480,24469.390
47:39:00,0.000,57.690,880.940,22233.930
57:57:00,3.000,62.510,817.610,20201.290
71:56:00,3.270,65.380,768.810,17903.760
