,BPS,BPS_Sd,BPS-d8,BPS-d8_Sd,BPSG,BPSG_Sd,BPSG-d8,BPSG-d8_Sd,time
0,0.06944349378948464,0.044722587682034624,14.641432119300147,4.762708589888144,0.010368731143383159,0.014328925797605363,3.0679016075507173,0.6235996679136082,0.15
1,0.06231812492586021,0.0399361851452883,12.306523686756673,3.6403982726017623,0.014263138967686075,0.01667316806969747,4.433031540961823,0.7237577510281048,0.22964285714285712
2,0.04881328813711027,0.026939025616154216,8.832120610725516,1.9340994077425306,0.03487346863719843,0.012279909846384654,6.578211181314027,1.2164344278311114,0.48440476190476195
3,0.036125137688951266,0.0165885153178655,5.641474167785826,1.621516278726391,0.0675843697276675,0.04666451218344374,8.80523852449526,1.0126843254141435,0.9558333333333334
4,0.022807163426482212,0.005831786668612371,2.361868923485276,0.8873394056998982,0.07780849719550544,0.016334584357420384,11.503085710412467,1.7340081366860538,2.0201190476190476
5,0.003801851632414463,0.005677040073501694,0.6117292862087959,0.310208012508106,0.10953574088233685,0.02101890898541599,12.601475582596336,2.0354091686906286,4.0320238095238095
6,0.0,0.0,0.22202758863125785,0.13711892968816125,0.1275075360707439,0.03188172386675766,12.93236511822728,1.53573563790744,6.0320238095238095
7,0.0,0.0,0.11174824185011276,0.0632139960232442,0.12837004492441775,0.03908830200874555,12.866330179618206,1.9770371280316135,8.048690476190476
8,0.0,0.0,0.06827773540891334,0.032748745732776245,0.1288506966789129,0.049489015295847115,12.143636218654422,2.05313724437199,10.289166666666668
9,0.0,0.0,0.033699458806026726,0.01540651917163237,0.1388895487580444,0.06686727793147805,11.026936748225808,1.579215974584943,23.483333333333334
