,BPS,BPS_Sd,BPS-d8,BPS-d8_Sd,BPSG,BPSG_Sd,BPSG-d8,BPSG-d8_Sd,time
0,44.00337997250644,18.042733989303933,0.0012123705352821606,0.0020998873647081785,173.5070598131095,17.961855170880114,0.0,0.0,0.16666666666666666
1,18.009896084545097,5.950144371165889,0.001370632078211209,0.002374004397945533,167.83027850381976,5.496347416968004,0.0,0.0,0.25416666666666665
2,5.936460646815151,1.6759885429638657,0.0,0.0,158.6542431439987,28.813305470868322,0.0,0.0,0.5041666666666667
3,1.5861628037976754,0.6836606978803075,0.0,0.0,111.08116945197004,2.6820983725241994,0.0,0.0,1.0291666666666668
4,0.3838938851797419,0.17702302497222175,0.0,0.0,50.765886724749876,6.389642533678049,0.0,0.0,2.066666666666667
5,0.09828759618982635,0.05036593344114081,0.0,0.0,16.030610721954144,3.0018518271166323,0.0,0.0,4.029166666666667
6,0.03054157740037513,0.018911403523598408,1.3383106143182116e-05,2.3180219803078586e-05,6.313215944575558,1.7161966323389723,0.0,0.0,6.1083333333333325
7,0.011452533419079921,0.011186921379070234,0.0010075694511663927,0.0017451614815744809,2.8057162906659525,0.7533236880258831,0.0,0.0,8.0375
8,0.008377015418699008,0.00840255268928087,3.2833220404608093e-05,5.6868805916888385e-05,1.6468041013735795,0.5700569358462801,0.0,0.0,10.016666666666666
9,3.479253334750498e-06,6.026243548191309e-06,0.0009783753744383125,0.0016945958574013818,0.11872846238629345,0.03337878794828643,0.0,0.0,24.220833333333335
10,0.0,0.0,0.001112984907411103,0.0019277464076933733,0.036155780767810564,0.006880606584967473,0.0,0.0,34.1375
11,0.0,0.0,3.547773379501091e-05,6.14492374703623e-05,0.012433669370049066,0.0210492064879776,0.005973007344456272,0.010345552194580322,47.94583333333333
12,0.0,0.0,0.0010202887860106345,0.0017671920157631888,0.007336989699312067,0.012708038933817997,3.4571270599377505e-05,5.9879197160334e-05,58.0125
13,0.0,0.0,1.1316597106367927e-05,1.9600921157016186e-05,0.0,0.0,0.0,0.0,71.51666666666667
